community_board,garden_name,address,size,neighborhood_name,latitude,longitude,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,avg_org_value,avg_rev_value,avg_tot_appropriated
X12,Bissel Gardens,in Bissel Street,0.08,NA,NA,NA,Bronx,Williamsbridge and Baychester,156542,6,65,2,25,2,24,10,27,26,13,70,20,48,32,23,57,30,39,81,78,1659034,1655369.707070707,NA
M11,Black Veterans For Social Justice,22 East 119th Street,NA,East Harlem,40.802263,-73.944274,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
Q12,Block Association #81,Inwood Street,0.115,Jamaica,NA,NA,Queens,Jamaica and Hollis,232911,2,66,12,17,3,22,10,27,27,14,74,19,51,29,20,56,30,37,80.5,82,545464.6961538461,533962.0115384615,248142.85714285713
M10,Bradhurst Avenue Tenants Association,Bradhurst Avenue,0.092,Hamilton Heights,NA,NA,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
B02,Bridge Plaza Community Garden,Bridge St,NA,NA,NA,NA,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
B02,Bridge Plaza Court,Bridge Plaza Court,NA,NA,NA,NA,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
M03,Brisas Del Caribe,237 E 3rd Street,0.06,East Village,40.722296,-73.982048,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
X01,Brook Park,494 East 141st Street,NA,NA,40.809829,-73.918667,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
B02,Brooklyn Bears/Carlton Avenue Garden,397-401 Carlton Avenue,0.14,Clinton Hill,40.685731,-73.971356,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
B02,Brooklyn Bears/Pacific Street Garden,Flatbush Avenue,NA,Park Slope,NA,NA,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
B02,Brooklyn Bears/Rockwell Place Garden,65-73 Flatbush Avenue,0.082,Downtown Brooklyn,40.687133,-73.979674,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
B02,Brooklyn's Finest Garden,48 Lefferts Place,0.057,NA,40.681526,-73.961901,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
X02,Bryant Hill Community Garden,899-999 Bryant Avenue,0.34,Hunt's Point,40.819878,-73.886951,Bronx,Hunts Point and Longwood,56144,1,21,1,76,1,28,12,29,21,10,58,41,43,16,29,58,42,38,78.9,72,593876.6363636364,604940.2727272727,265000
